# Inventory of the page snapshots the published measurements were taken over.
# taken_at      2026-08-10
# pages         3062
# messages      61240
# id_range      260790..321830
# contiguity    no gaps
# digest        sha256:10266cbf775357b86577c9e3acd3494c86c670149511a5e7abbf236044840405
# The digest is over the sorted per-page digests. It answers 'is this the same
# corpus'. Completeness is the contiguity line; the right window is id_range.
page,id_lo,id_hi,messages,bytes,sha256
page-000261890-000261909.html,261890,261909,20,105250,33fed4ebe8256e8caac785684d47dbd26f9e07db46e3653c11c1912c63cbb5c7
page-000261910-000261929.html,261910,261929,20,103046,7c5a534d46e14757d746a46c18c0fd8b7aac3bd9be23911d5190bf2721c29f1d
page-000261930-000261949.html,261930,261949,20,107915,14e97d4f76b34c4b97ab8155a877fcacd7e242aa7757de3086aad18a76ee0374
page-000261950-000261969.html,261950,261969,20,109417,ffcfd8025af813b2aebe99f9747f13493cc0c0f23c5c9159e824269183a8e04d
page-000261970-000261989.html,261970,261989,20,106137,1419a94a14e6f2025610085913f59393e56073665473ad7c1e7e1da4808f1aba
page-000261990-000262009.html,261990,262009,20,106224,de2ee7b00c01c9c53d70e6dee7680328e4c37a1b408273316ebcd0a3933490cf
page-000262010-000262029.html,262010,262029,20,109497,d0dd1752d5512786e7ae0edbcbf1a869520de930ef7f36b1339007a7528b43e4
page-000262030-000262049.html,262030,262049,20,104167,28228a78c73283183ecb7b698cb0ec655fb6d8766fd763172d2c538067f72643
page-000262050-000262069.html,262050,262069,20,108492,93020cacb3ad5c09d560b63a086dceb3a0915e9bc2e17801c85259e4c0f4358c
page-000262070-000262089.html,262070,262089,20,109089,30e349574db4096fa37355912aa29cb034601bb1eaef8275aff0634115985805
page-000262090-000262109.html,262090,262109,20,112260,3e6d1a8af3684d2040c7e86837dfa6bcd9201a6b0881790be07a965d01e8cec6
page-000262110-000262129.html,262110,262129,20,113420,8c9fad7ce83403de4d1debc8200881fc6d125c1fa2e93a6816d6e165c2e3ad7b
page-000262130-000262149.html,262130,262149,20,109992,824a84d13360fa552a002df775888476c89eba7790f8befc24a8a568c3ef1303
page-000262150-000262169.html,262150,262169,20,104988,13417016e0685e03bb04d4709c6607169a91851ec23dbf9576c1b4699c58fb06
page-000262170-000262189.html,262170,262189,20,105281,f9db04c0ed86cb457051b98f550ef5210957a443eb6aeecb86f2e0d0563145c2
page-000262190-000262209.html,262190,262209,20,103718,d1adf3bc59ac999cd14df616a7cbdf139b49782d34f41995eebd8da7a515faec
page-000262210-000262229.html,262210,262229,20,105215,75e5fec2ec8229cd08e8166c3b4d59d156eedf47daed1f0becd53b8e27347c65
page-000262230-000262249.html,262230,262249,20,102050,1508bad09ce8cc345c802dbb5f7087271e380047a5a1c7f7cd74a0b6e9a3e97a
page-000262250-000262269.html,262250,262269,20,104666,42acbe5b12ddf7693c5bd56812bf64ef0707e885825949a28231a1f4e80f008b
page-000262270-000262289.html,262270,262289,20,109004,641f9faae297d3780e9a0151bc8fd412712e6f0dd1a98f3a62afb81622ac5270
page-000262290-000262309.html,262290,262309,20,108219,842f7518b8e0b14cfcf2e248bf985fbac57cc763cc9bbe4b45490e734439186d
page-000262310-000262329.html,262310,262329,20,104462,f4ef2954912c175bb345c1d345d6ec47ef3cb0e428501ca9559ab34b7b0e5ac1
page-000262330-000262349.html,262330,262349,20,106929,77cd3b8e84c8c25737e26def91f1e5263a4a36799204abcb8ab9664369bf7f6b
page-000262350-000262369.html,262350,262369,20,104714,0fc2ffb094ffbe07f32093d0f62668882680b72e8d675eee3055d1e5400da8ea
page-000262370-000262389.html,262370,262389,20,105097,1e85d2f2dc33d36a5ddbce023e11e4223052fa8241ff00796fbd08afc828bede
page-000262390-000262409.html,262390,262409,20,107549,b8ef501b650d4685a45903b6806e7fddece712df73a94e78211971bf4ead38a9
page-000262410-000262429.html,262410,262429,20,103887,74ec7b3aa43069eea71c702419376caf96c5e71d8e63638bdf1efc635e8ab042
page-000262430-000262449.html,262430,262449,20,104757,c95b730d2ea27f32bb1ae2171d2104fc8ac988ddf8e27cf8c283adcaa5bc3fd2
page-000262450-000262469.html,262450,262469,20,106442,d3ad78e7810a3213786492c43b95d053f8390c2a089f6f6835badc73fbdabdb2
page-000262470-000262489.html,262470,262489,20,104813,a76a6e11ac03262e8d162c4bfc5c332864a3559bc60da9bf0e210b6d96ec235d
page-000262490-000262509.html,262490,262509,20,105480,b2676a3816b330efa78a99887a0c2dcfc4d4fb822c7aed2b9cd97142e13ed7d5
page-000262510-000262529.html,262510,262529,20,104568,d85542fa26bdf103274eb4aa01ab1342d619f1c84228b2551f79c8c1c6bd5a96
page-000262530-000262549.html,262530,262549,20,109689,56ef08d25594e21939f46dbbaf09f8ef0365279a18c57188c8ca1ceb4952231e
page-000262550-000262569.html,262550,262569,20,110224,0072b57e6e2c73c607a015f084bc6bcf743dac1386896938f0d546e98773c57b
page-000262570-000262589.html,262570,262589,20,106178,1da23b3be9964d5c8a78123b39b9c4d3c70690646f5ed17f01c20c4c8aa233a0
page-000262590-000262609.html,262590,262609,20,112319,8fd579d9f9ae94c36a4944f8ee1c793df4c8e4066417a9b3e01350e9d265651b
page-000262610-000262629.html,262610,262629,20,112089,d214e2eb8914541aca732910dfc1fdc05e994c9ae55683f61adb23ec1246149e
page-000262630-000262649.html,262630,262649,20,105024,e1a914fe9fcedb4c2c62748401808c8f13d362c464c57342192cafb8bfc45fce
page-000262650-000262669.html,262650,262669,20,102989,28a2d9fca1c352294ed1d52a300c0a98c4842742a42da25a50dd089993fa4c0b
page-000262670-000262689.html,262670,262689,20,107016,8e180c939c7fd3b3edbe4c29f8c6f65d060a3a0e7a80dbd909fa9420e51b65a7
page-000262690-000262709.html,262690,262709,20,103092,d53bf95a9731160ac4bcad909cb33ddf5e266f628ac7bbe4eec83d7e98485599
page-000262710-000262729.html,262710,262729,20,102361,14e4d18f8d1015596d6a3b34b61bfbf1ada3acc7dc4828b559489b12143eac61
page-000262730-000262749.html,262730,262749,20,106793,a38472ddc4c69ad69b460508b85194dc6fb81d7706255f711fb065cacc694c80
page-000262750-000262769.html,262750,262769,20,107739,7d393b099a52d7e83b54c9073bbb0548d86c9fd79ee56b7d59e9daf9d54f6ce3
page-000262770-000262789.html,262770,262789,20,111501,54cb8a8909dac8fe405a45a8d638bdaf7283b169ca3ebb5ee9465767a601717c
page-000262790-000262809.html,262790,262809,20,106298,9bddcc9b907e8518f46a16fc6b69b79db4645acc49cea843e9b4b4de49a198ac
page-000262810-000262829.html,262810,262829,20,104806,be21c21ce36f8418842133e5473c75382c60eee56201631425b53ae158548ea0
page-000262830-000262849.html,262830,262849,20,105083,c126b31c60d856e9d8465ecaca351f1d09f6289e7424a797504f0fdfa740cde0
page-000262850-000262869.html,262850,262869,20,106804,e29f36a4833b0b9c9301ad5f3326a4b649981966cec4e3ca72605e058ef39003
page-000262870-000262889.html,262870,262889,20,103308,2d82e8a7cde0ace3c2c4aef74c8419ea5bf5b9e2a826cf3e20e993abe522e712
page-000262890-000262909.html,262890,262909,20,104952,e5b345fe97b8e7fc5395539b664c26ab19d6a9810cb9db98a085dc92bc7e8257
page-000262910-000262929.html,262910,262929,20,107103,32018dbe5abff92871cbd0e640acce79d33a4c12fdf0f8c60fffe039037bae08
page-000262930-000262949.html,262930,262949,20,104654,f55045aa999b334c454d488aa2ea6e975054e311c301bfad7c755ca5b15ffe6e
page-000262950-000262969.html,262950,262969,20,106825,b8ca1afd8ad8be6810b154c09930b71f63d5a03957a7a9df30ba1db4c74617cd
page-000262970-000262989.html,262970,262989,20,107041,014c06a4c57ae8e555509e6c0efbd84de156d62d7e0b44691293ecb8c6df02b5
page-000262990-000263009.html,262990,263009,20,110339,1be299a88bb32874b804152a7de3233be4b4a28bf07ba03b444ac67c9f851e69
page-000263010-000263029.html,263010,263029,20,105624,e79bd67d283fd7ac5118bd7a6306a606c90bc643ac351347440da3276abd65de
page-000263030-000263049.html,263030,263049,20,109400,6d457a31f0e1af1df94cd46dcd8028f371ded96df8b7e6b64688745fa3518adf
page-000263050-000263069.html,263050,263069,20,118044,452bc0e5e3702cfd8d0c238002a0c3f7cc004f262125f4bd3329ab78ab567d6d
page-000263070-000263089.html,263070,263089,20,113618,ad1aaea8ff99d9388e5d596b0d753e7e4903c6c26fa213495cb1e02c56739ba2
page-000263090-000263109.html,263090,263109,20,110340,8f790f13d0e024def880d886fe0dad066c1421322fd4b00bc242da49407f17ed
page-000263110-000263129.html,263110,263129,20,109523,d3f6a30fecc008770816e767053a4071eb13b79af5ba555c2a38f01126e24359
page-000263130-000263149.html,263130,263149,20,110418,6499b404701fbec23588b6b39bdd21654311a41691545466f7c5c9b3ba067551
page-000263150-000263169.html,263150,263169,20,111751,28582021e77caaf5c973195e0a663d0ffb23e933446934f4cab9748e47d81b28
page-000263170-000263189.html,263170,263189,20,105733,66e829b84f8d0a7d3487684d3af20d72807c8ca0b67673c6e80d2d04e5b8c8cf
page-000263190-000263209.html,263190,263209,20,105320,478cc23d45e45abc5110cd78e58f6151b5b7e8041c8cee30133a7a9e981275cf
page-000263210-000263229.html,263210,263229,20,101683,69fbc76a83bcb54039bd4dc6e9de616ad507023e60bd7c2854fb0df75633fc8c
page-000263230-000263249.html,263230,263249,20,105703,eb3d2b0d11a2c3a093925dc2c1d5c3d2069f8a7d2a1250be6546ddd7f535eddd
page-000263250-000263269.html,263250,263269,20,103791,91d27a34ca4fc24ef669d4ca6d2abf75de7824bff089f8b278902c2f3a9060bf
page-000263270-000263289.html,263270,263289,20,102222,ba4a52ff0079034587e0482aece89454dafe55077e00e3ea460ca20ba4318e7c
page-000263290-000263309.html,263290,263309,20,103016,693cd23b47d01e539c693c94a2da63ba851040f7eff215a4cf9488385c298f01
page-000263310-000263329.html,263310,263329,20,103598,d098aa7013d995ee5c855619b7733da62c465b5c15d683c191f9f8e25b65d5bf
page-000263330-000263349.html,263330,263349,20,104058,a0af0fad7fbe86a2c547f2b64bbaa9e522aa3f70a8fc87a7c9915d3e7e9806da
page-000263350-000263369.html,263350,263369,20,104299,322032ed64545356442e1c2fc607c71058eed161944cfa48a72439c776ed3f6b
page-000263370-000263389.html,263370,263389,20,102929,b7784d27522416390921a033fa60c52f3c28c9e2e2257ac5709b2b755697f4b4
page-000263390-000263409.html,263390,263409,20,103413,5b8c4b8a592ec01da084bae4c063277cd77a8c1c2d2cef75dc9935087f7db7ac
page-000263410-000263429.html,263410,263429,20,104093,ff9a013238df2a88375202c337c768a6cf5e2af8fd95e8e90e76137be9ba9178
page-000263430-000263449.html,263430,263449,20,104236,f7cac704f9b181d5835a495f67e16dd7f1aa1c01afb6b744b00ca9596eefc9c5
page-000263450-000263469.html,263450,263469,20,103549,771c0e4844044b3bca7b8802401052de864385a8cd4b01f8edced8e009cbdde8
page-000263470-000263489.html,263470,263489,20,104555,3388131c5490235d0993172c66af4fa8a6114eb5c4eac7d4ad0299936b4cf41a
page-000263490-000263509.html,263490,263509,20,103794,aea4a900f8b64feb5bd3dff8d00f2841f18ae7b38cac082ab98f2eaa5671a40d
page-000263510-000263529.html,263510,263529,20,105607,4db3f6c1b95256e5ab8469c27f4617bcc43a5ee71246339ba5af9193b1e2834b
page-000263530-000263549.html,263530,263549,20,104993,5ec6722864a96080513c402567802c8be4dccb15662a40228b5b9422b84649f6
page-000263550-000263569.html,263550,263569,20,102256,529a4e1f47b6e55de1c645eda51d960bf0a136cf9ac54896d41d9b7a3ffba40b
page-000263570-000263589.html,263570,263589,20,102779,ca86aa83b4bf777bf15ff4bbb02b4bbe0f47b247cf99f33681cb69e74cb0aec7
page-000263590-000263609.html,263590,263609,20,105655,ea53e522e0c3309bd4784df8566b858541df494d19d847fa97ff29c08eadbf01
page-000263610-000263629.html,263610,263629,20,104248,7792bbe58b5dcf420c313d654cd0f496c2b0a0d8115e5c6a073dc6b6a3cb18a2
page-000263630-000263649.html,263630,263649,20,102491,6fc027729aca77f8526507f9a2835326f92c14d8d670d1b010efeb60a33f018d
page-000263650-000263669.html,263650,263669,20,103004,b1047868b1a899c83779aea466f077fcbfd994d6c49130869faf3fce2a4f1eec
